index,true_label,pred_label,final_confidence,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3
1,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,1,1,0.10600000000000001,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,1,1,0.136,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
4,0,0,0.606,0.3,0.2,0.8,0.4,0.9,0.8,0.8,0.7,0.1,0.8,0.1
5,0,0,0.503,0.9,0.85,0.95,0.9,0.95,0.1,0.1,0.1,0.9,0.9,0.9
6,0,0,0.7173333333333334,0.6,0.8,0.9,0.7,0.9,0.8,0.8,0.7,0.8,0.4,0.3
7,0,0,0.39666666666666667,0.4,0.3,0.5,0.6,0.2,0.3,0.2,0.2,0.9,0.8,0.7
8,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
9,0,0,0.5186666666666667,0.9,0.8,0.4,0.7,0.9,0.3,0.2,0.2,1.0,0.9,0.8
10,1,0,0.314,0.9,0.8,0.9,0.9,0.9,0.1,0.1,0.1,0.0,0.0,0.0
11,0,0,0.26533333333333337,0.2,0.3,0.6,0.5,0.1,0.2,0.2,0.1,0.2,0.8,0.2
12,0,0,0.41000000000000003,0.2,0.3,0.4,0.5,0.1,0.3,0.2,0.4,0.9,0.85,0.8
13,0,0,0.5243333333333334,0.8,0.9,0.9,0.85,0.9,0.2,0.2,0.2,0.8,0.85,0.8
14,0,0,0.32000000000000006,0.3,0.2,0.4,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.9
15,0,0,0.42200000000000004,0.8,0.2,0.7,0.6,0.9,0.1,0.1,0.1,0.9,0.9,0.9
16,1,1,0.12400000000000001,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1
17,0,0,0.479,0.9,0.7,0.8,0.85,0.9,0.1,0.1,0.1,0.9,0.9,0.9
18,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
19,0,0,0.485,0.8,0.75,0.9,0.85,0.95,0.1,0.1,0.1,0.9,0.9,0.9
20,0,0,0.332,0.95,0.9,0.95,0.95,0.95,0.1,0.1,0.1,0.0,0.0,0.0
21,0,0,0.26,0.9,0.4,0.7,0.6,0.9,0.1,0.1,0.1,0.0,0.0,0.0
22,0,0,0.5093333333333333,0.95,0.9,0.95,0.85,0.95,0.2,0.3,0.1,0.3,0.9,0.8
23,0,0,0.528,0.8,0.85,0.9,0.85,0.9,0.3,0.2,0.4,0.7,0.4,0.7
24,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
25,0,0,0.4046666666666666,0.8,0.6,0.7,0.8,0.9,0.1,0.1,0.1,0.6,0.8,0.5
26,0,0,0.494,0.9,0.8,0.9,0.85,0.95,0.1,0.1,0.1,0.9,0.9,0.9
27,1,1,0.11000000000000001,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0
28,0,0,0.479,0.8,0.7,0.9,0.85,0.9,0.1,0.1,0.1,0.9,0.9,0.9
29,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
31,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,0,0,0.7456666666666667,0.7,0.8,0.9,0.85,0.9,0.8,0.7,0.6,0.7,0.8,0.7
34,0,1,0.19533333333333333,0.3,0.2,0.4,0.3,0.5,0.2,0.1,0.1,0.1,0.2,0.1
35,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
36,0,0,0.6436666666666667,0.9,0.85,0.9,0.85,0.95,0.4,0.6,0.3,0.8,0.9,0.7
37,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
38,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
39,1,1,0.12400000000000001,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1
40,1,1,0.14200000000000002,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1
41,1,1,0.05,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1
42,0,0,0.36266666666666664,0.8,0.7,0.9,0.8,0.9,0.1,0.1,0.1,0.1,0.8,0.1
43,0,0,0.7413333333333333,0.3,0.6,0.8,0.7,0.9,0.8,0.8,0.7,0.8,0.85,0.75
44,1,1,0.10600000000000001,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
45,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
46,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
47,0,0,0.508,0.8,0.7,0.3,0.6,0.9,0.4,0.3,0.2,0.8,0.9,0.7
48,0,0,0.692,0.9,0.8,0.4,0.7,0.9,0.9,0.6,0.4,0.9,0.8,0.6
49,0,1,0.1866666666666667,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1
50,0,1,0.13,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
51,1,1,0.18866666666666665,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.1,0.8,0.1
52,1,1,0.122,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.0,0.0,0.0
53,0,0,0.6506666666666667,0.6,0.7,0.4,0.8,0.9,0.8,0.6,0.4,0.7,0.8,0.7
54,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
55,0,0,0.5193333333333333,0.9,0.6,0.7,0.5,0.9,0.3,0.4,0.2,1.0,0.9,0.4
56,0,1,0.20466666666666666,0.3,0.2,0.4,0.1,0.3,0.3,0.2,0.1,0.1,0.2,0.1
57,0,1,0.21000000000000002,0.2,0.3,0.4,0.5,0.1,0.3,0.2,0.1,0.1,0.1,0.1
58,1,1,0.10600000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
59,1,1,0.10600000000000002,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
60,0,0,0.24866666666666667,0.2,0.1,0.3,0.2,0.4,0.3,0.4,0.2,0.1,0.2,0.1
61,0,0,0.4036666666666667,0.9,0.85,0.95,0.8,0.95,0.1,0.1,0.1,0.2,0.9,0.2
62,0,0,0.43466666666666665,0.8,0.3,0.7,0.6,0.9,0.2,0.1,0.1,0.9,0.85,0.8
63,0,0,0.416,0.8,0.6,0.9,0.85,0.95,0.2,0.2,0.1,0.2,0.9,0.2
64,1,1,0.11200000000000002,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1
