index,true_label,pred_label,final_confidence,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3
1,1,1,0.10800000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,1,1,0.10800000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,1,1,0.124,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,1,1,0.10800000000000001,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,0,1,0.29066666666666674,0.3,0.6,0.8,0.4,0.2,0.3,0.2,0.1,0.1,0.2,0.1
6,1,0,0.3953333333333334,0.2,0.2,0.8,0.3,0.9,0.1,0.1,0.1,0.8,0.85,0.8
7,1,1,0.17066666666666666,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.8,0.1
8,1,1,0.14533333333333337,0.2,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
9,1,1,0.11600000000000002,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
10,0,0,0.536,0.9,0.4,0.7,0.8,0.9,0.4,0.3,0.2,0.4,0.8,0.6
11,0,0,0.5426666666666667,0.8,0.7,0.9,0.85,0.95,0.3,0.2,0.1,0.6,0.8,0.5
12,1,1,0.22400000000000006,0.2,0.1,0.8,0.3,0.9,0.1,0.1,0.1,0.0,0.0,0.0
13,1,1,0.21600000000000003,0.3,0.2,0.1,0.4,0.2,0.1,0.1,0.1,0.2,0.8,0.2
14,1,1,0.16133333333333336,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.1
15,1,1,0.116,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
16,0,0,0.3920000000000001,0.8,0.7,0.9,0.85,0.9,0.1,0.1,0.1,0.1,0.1,0.1
17,0,0,0.6080000000000001,0.8,0.9,0.9,0.85,0.9,0.3,0.2,0.2,0.8,0.9,0.8
18,0,0,0.5333333333333334,0.85,0.75,0.9,0.8,0.95,0.3,0.2,0.1,0.4,0.8,0.5
19,0,0,0.6346666666666667,0.8,0.9,0.9,0.85,0.9,0.3,0.2,0.4,0.8,0.9,0.8
20,1,1,0.19200000000000003,0.3,0.2,0.1,0.4,0.9,0.1,0.1,0.1,0.0,0.0,0.0
21,1,1,0.19333333333333336,0.2,0.3,0.4,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1
22,1,1,0.10800000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
23,1,1,0.10000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
24,1,1,0.2786666666666667,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.8,0.9,0.8
25,1,0,0.42,0.8,0.9,0.3,0.6,0.9,0.4,0.1,0.1,0.2,0.3,0.4
26,1,1,0.116,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
27,1,1,0.116,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
28,1,1,0.15600000000000003,0.2,0.1,0.3,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1
29,0,0,0.8126666666666669,0.8,0.85,0.9,0.75,0.9,0.8,0.85,0.75,0.8,0.75,0.8
30,0,0,0.5846666666666668,0.8,0.9,0.9,0.85,0.9,0.2,0.2,0.2,0.8,0.75,0.8
31,1,1,0.132,0.2,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
